# command:
# git-check-rebase --meta rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.meta --rows-hide-level show_all --columns full rhel9:rh9-5.14.0-70.22.1.el9..rh9-5.14.0-70.22.1.vz9.17.12 rhel9.1:rh9-5.14.0-162.6.1.el9..rh9-5.14.0-162.6.1.vz9.18.1 > rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.log
#

<tag>  rhel9         rhel9.1       SUBJECT
match  c619c65bdb40  bd6dce5f6b2e  sctp: suppress warnings on high order memory allocation on packet transmit
match  08c85143182f  6058c5cc1b88  x86/microcode/intel: hide warning on high order allocation for microcode area
match  76416d66ccdb  d63cfa41fec1  net: silence high-order allocation warning from UDP with big headers.
match  80e3634d01d6  0dcb7b92f2ae  net: silence high-order-allocation warning in sctp_pack_cookie()
match  17d14e5289b7  c202e83011d6  ipv6: silence high-order allocation warinig in rawv6_sendmsg()
match  0a281f13ad9d  751712871aed  netlink: silence high-order memory allocation warning in netlink_ack
match  f10ca4b21b47  ff04a54a2564  modules: use kvmalloc when creating sysfs attributes for ELF sections
match  a0c2eab5c6a1  afa3c8b47ae6  net/vhost: Replace kmalloc with kvmalloc for order>=3
match  e907974f3345  7a2bbd837e18  mm/mempool: Use kvmalloc to allocate array of element pointers
match  24448db0e40c  5ab86e668177  IB/core: Use kvzalloc to allocate ib_device
match  57c29398ab1e  5ff019a53b31  bnx2x: Suppress warnings on DMA memory allocation
match  911d6ecd28f5  6b230bb47ffc  bnx2: Use kvzalloc() to allocate certain internal data
ok     b030a89f5211  c3a24bacfd57  mm: introduce kvmalloc_check() for safe calls to kvmalloc()
match  d1365babbbe0  612f59b1b77b  net/sock: teach sock_kmalloc() to call kvmalloc() when possible
match  59ff72de367f  b4f0387d297a  tty: use kvmalloc for screenbuffer allocation
match  28826d92dc43  3c4469be8106  fs/pipe: Use kvcalloc for pipe buffers
match  f492964f86c5  861dcc84ecee  net/drivers/i40e: suppress high order allocation warning
match  771e42753708  e815d0d2ac0d  net/drivers/i40e: suppress warning on skb linearization
match  6c60d92ebf50  db9e11884ea3  fence-watchdog: Add fence-watchdog driver
match  eb18665d2ee1  eeffe421fcb5  fence-watchdog: Add xt_wdog_tmo netfilter match
match  49c75642bfe0  185245061fd8  fence-watchdog/arptables: add ability to filter by watchdog timeout
match  533f6e833b05  4d7d53aced2a  mm, cgroup, writeback: Enable per-cgroup writeback for v1 cgroup.
match  be5508d5a20e  e890970e84fc  x86: "pages zeroing on free" option introduced
ok     33e2904dba05  bffe80852719  mm: issue panic() on bad page/pte bugs if panic_on_warn is set
match  c4bbee68436f  a6d9bc0b418c  mm: memcontrol: add stats for reclaimable and unreclaimable stats
ok     da29ffcbcc48  7a2ba23a3936  ve/mm: introduce min threshold for dcache
match  eb16f5cbfd21  2a3c2e30b5f4  ve/mm: allow container's root to ignore mlock limit
ok     89743d84b2a6  59e061cdba73  mm: memcontrol: add swapin/out stats
match  5cb1efe0b3d7  a2f6ba054e58  mm, memcg: add oom counter to memory.stat memcgroup file
match  2ab1e2a35af1  68f86591651b  mm: per-memcg negative dentries accounting
match  3b6f9f6dbb14  3c6619ddf853  mm: default collapse huge pages if there's at least 1/4th ptes mapped
match  2bf599f8f6aa  0a9caedcb043  mm: memcontrol: add memory.numa_migrate file
match  e3ab981ddf95  95be5814bdd7  mm: Do not leak node data to CT's /proc/vmstat
match  9f464a92ef0a  1ad584637571  mm/mecontrol: add memcg_[un]charge_kmem() API
ok     95e14e39d2b7  cda63d82f6c6  mm/swap: activate swapped in pages on fault
ok     7cc796fc4e53  bbf59e8a9743  ve/mm: add heuristic check for memory overcommit
match  b3c837e49216  179a8976ad86  ve/audit: allow changing loginuid for VE root
match  301e892cbf2c  68c6b726719d  configs: provide kernel config via proc
match  2edbf0927859  98576f6e8b17  ve/procfs: make /proc/config.gz visible inside Containers
match  533d965b4327  0a1216a7f060  configs: Limit number of legacy ptys
match  879d46db7cfd  60d7a9251e9e  configs: Increase default value for vm.mmap_min_addr
match  6d74b3bdca1b  0ea3ce28574c  configs: VZ options
match  4d2955e58b6d  fe4f1bbf0e38  dm-tracking: Add tracking_clear cmd
match  2d02d994a23d  11113d3b6650  ve/printk: Introduce struct "log_state" and virtualize log_buf/log_buf_len
match  6b6bf6899ce2  3961346288cf  ve/printk: Virtualize "prb" and "clear_seq"
match  81beccf05398  78f29f5ad6d7  ve/printk: Virtualize syslog_*
match  72c577c098a0  8f384534111c  ve/printk: Virtualize console_*
ok     81218939b638  2749ac71116b  ve/printk: Virtualize log_wait queue
match  6024537a1102  780a2e817700  ve/printk: Introduce ve_printk()
match  c3bf4d8e038d  0fc63f97cbf8  ve/printk: per-CT printk helpers introduced
match  d5a3bb42866f  1105149f0b70  ve: Use ve_printk() for often kernel messages about user actions
match  c02bd10f0de2  48544f54a3a6  ve: use ve_printk() to print VMA address in case of segfault
match  c4baab8f8096  671e211b5e13  ve: network rate-limited VE logging helpers introduced
match  805c3841ce6b  936d25f50cc3  ve/netfilter: ve_printk for "nf_conntrack: table full"
match  5877da2133a4  9d1ba36aa944  ve/kthreadd: emulate kthreadd by kworker thread, attached to CT
ok     b747e463fde9  570eb18fa35a  ve/kthreadd: add per-ve kthreads creation interface
match  27c0254991e9  46ae4893580c  ve/kthreadd: create kthreadd in a containers pid ns
match  801fad954e58  93b77b4b5d2d  ve/umh: make queue function one of the subprocess_info parameters
match  50570f9467d1  9a572ed9d2ba  ve/umh: init work separately from other subprocess_info parameters
match  488baf7039cf  7ee715584070  ve/umh: add per-container usermodehelper thread
match  075ced68eccf  1e237f791eb1  ve/umh: introduce per-container user mode helper macroses and functions
match  cbfd514ce657  074fe500dccd  ve/umh: create kernel thread for each synchronious UMH request
match  a738343477ee  479eb408b55b  ve/umh: enable user mode helper in container
ok     105ce13d3956  5ed3158f4d65  sunrpc: add "kill-tasks" proc entry
match  1e018e1403c8  0811815e631d  sunrpc: bring back SUNRPC task abort logic
ok     ff395cb88937  0e00699089a8  sunrpc: pending tasks kill helper added
match  018f86f38b29  6c56b591403e  sunrpc: do not place task to sleep if has to be killed
match  e642590a8a8a  ea4593140232  ve/fs/nfs: NFS containerization
match  ca666047b5f1  ee7fe1e4a408  ms/NFS/CIFS/SUNRPC: don't allow to freeze execution
match  1e7601a33f02  dd74b3b0c8c9  ve/sunrpc/nfsd: containerize kthreads
match  49e3fe7a568b  70454e2f9eb6  ve/nfsd: enable UMH client tracker in a container
match  1e31799840f9  d1f3ced017d3  ve/nfsd: disable legacy recovery tracking for containers
match  5c6fc8b863aa  cbee93128fba  ve/fs/nfsd: NFSd containerization
match  5d4720a561ce  3b689c5b5b42  nfsd: return file system superblock time granulaty on FSINFO request
match  5b2f2d4d562a  b50449f410d9  ve/sunrpc: Prohibit mounting rpc_pipefs in CT without nfsd feature
match  9fd6a9170bff  f54e88fe4925  ve/sunrpc: Enable rpc_pipefs mounts in Container root user namespace
