# command:
# git-check-rebase --meta rebase_4.18.0-240.1.1.el8_4.18.0-305.3.1.el8.meta --format=full rhel8.4:rh8-4.18.0-305.3.1.el8..9fdfd6a7c491 rhel8.2:rh8-4.18.0-240.1.1.el8..origin/branch-rh8-4.18.0-240.1.1.vz8.5.x-ovz-merged
#

<tag>  rhel8.4       rhel8.2       SUBJECT
match  8af91a118c71  ca4e5f04380c  ve/umh: create kernel thread for each synchronious UMH request
match  8c6332a9ae97  80bed52fc362  ve/umh: enable user mode helper in container
ok     0f36b77da3b7  05f2017b86b6  fs/ve: add new FS_VE_MOUNT flag to allow mount in container init userns
match  2b19e66e7802  ddb51c7f0345  sunrpc: add "kill-tasks" proc entry
match  b3ee5ee33b5d  27ffd14eff06  sunrpc: bring back SUNRPC task abort logic
match  080080896bd6  38c0ad935ece  sunrpc: pending tasks kill helper added
ok     9b717084596c  8b5cae550a6e  sunrpc: do not place task to sleep if has to be killed
match  ed2742396ed6  557c7928c224  ve/sunrpc/nfsd: containerize kthreads
match  66c2e6d7df5e  810a95268062  ve/nfsd: enable UMH client tracker in a container
match  0779b85d062a  77ffabbc1d96  ve/nfsd: disable legacy recovery tracking for containers
ok     730da6a0e011  2324ddfeb15c  ve/fs/nfsd: NFSd containerization
match  7e69e415c7e0  42545613c300  nfsd: return file system superblock time granulaty on FSINFO request
match  3e200083c803  62bccc83ddcb  ve/module: hide module refcounts from container
ok     96e2564545ee  ac77dc5a2155  ve/proc: virtualize /proc/meminfo in a Container
match  82923c2a170a  7420f6fc7803  ve/kernfs: export kernfs_perms_set() helper
match  74df2c0e3386  a67ed79ae2dc  ve/sysfs: generic sysfs_set_def_perms() helper introduced
match  30c3b4ccfa84  ea202ef4ea3f  ve/module: export sysfs dentries in containers
ok     a0a44d1b6d95  714c44b8f065  ve/net: allow to rename devices in non-ve namespaces
match  5808d7fe162f  31e7af1b37a2  ve/prctl_set_mm: allow to change mm content in ve
match  f6ee2eb71c5f  137e479b6f23  prctl: reduce requirements to exe link change
match  30fb425fa366  9fb7f7be7b39  ve/coredump: virtualize kernel.core_pattern sysctl
ok     13f13946b5e2  6a2a0a75fdcd  mm, cgroup, writeback: Enable per-cgroup writeback for v1 cgroup.
match  56d241bda49f  0d622a1a678f  connector: remove redundant input callback from cn_dev
ok     d6d8eba5f14e  222e6b19de6f  connector: store all private data on VE structure
match  b7c27e24504a  a4214a425896  connector: introduce VE-aware get_cdev() helper
match  d11da7e0bcc3  c954f5a33394  connector: per-ve init and fini helpers introduced
match  648ecd9e89ab  30574d049a78  connector: use device stored in VE
match  51d62765b3e9  c406cb0b7859  connector: per-ve helpers intoruduced
match  e5da53a0d36d  de95dd13240e  connector: take cn_already_initialized from VE
ok     d88fdd079066  6235d86bd0c4  proc connector: generic proc_event_connector() helper introduced
match  aa118cffc5a5  b30d31323b8b  proc connector: use generic event helper for fork event
match  fdaa03f8a036  4d97c543baf0  proc connector: use generic event helper for exec event
match  7c62a6f51910  6616878b08c2  proc connector: use generic event helper for id event
match  6930e7ae8133  b86778f31212  proc connector: use generic event helper for sid event
match  4faec7fe520a  069d2e5db0f7  proc connector: use generic event helper for ptrace event
match  9bc40fc3a9c1  0342064aac73  proc connector: use generic event helper for comm event
match  ac7ce2cf592a  005e65047b38  proc connector: use generic event helper for coredump event
match  44e4e3dd0878  35aaff0f01ad  proc connector: use generic event helper for exit event
match  dfba9c279ac8  f9bea88e65ad  proc connector: add pid namespace awareness
ok     a16a12ede6c7  0d315c783e8a  proc connector: add per-ve init and fini foutines
match  0b2e8c2b3208  61aaf98fb032  proc connector: call proc-related init and fini routines explicitly
ok     0e60020d2ae9  0289b06f76a0  proc connector: take number of listeners and per-cpu conters from VE
                                     (__this_cpu_inc_return() returns valus _after_ inc())
ok     8ac3079f4ef0  384c50340a2b  proc connector: pass VE to event fillers
match  d47c8802a0d8  e543f869b8e0  proc connector: take namespaces from VE
ok     f948aaee289e  82b6c19c1fd1  proc connector: use per-ve netlink sender helper
match  00c50e1523f8  6d7f46a5abce  proc connector: send events to both VEs if not in VE#0
match  26c89dc750cb  7ca072c44769  connector: containerize "connector" proc entry
match  2e271341f6a7  06cb0a012fe1  connector: take VE from socket upon callback
match  1e5f6f8e2ea4  6752e966f327  connector: add VE SS hook
match  d2f7dc72a599  0519fb13d9a6  fence-watchdog: Add fence-watchdog driver
match  aeb71bf11c51  3de528a172e1  fence-watchdog: Add xt_wdog_tmo netfilter match
match  3a7028663d5a  e8c21a53300f  fence-watchdog/arptables: add ability to filter by watchdog timeout
match  82f0b16c5ba0  7ac53b896e37  fence-watchdog: link fence_wdog_jiffies64 and jiffies in one cacheline
match  07eb0c5ef702  17c9d4046738  x86: "pages zeroing on free" option introduced
match  df741ffab37a  8c9314837ee4  mm: issue panic() on bad page/pte bugs if panic_on_warn is set
ok     cf89dfa06ebe  c171eb01691a  mm: memcontrol: add stats for reclaimable and unreclaimable stats
ok     04a18280021f  152e64200867  ve/mm: introduce min threshold for dcache
match  41fbf453d2f8  a3b75e77eb1c  ve/mm: allow container's root to ignore mlock limit
match  3443becba897  0e7f58743939  mm: memcontrol: add swapin/out stats
match  119a4fa2cdc2  348d5efca2b3  mm: default collapse huge pages if there's at least 1/4th ptes mapped
ok     afc5c4b47904  52b2cc4dda9e  mm: memcontrol: add memory.numa_migrate file
match  5e3011431a6b  20a29c6cb14b  mm: Do not leak node data to CT's /proc/vmstat
match  1061997d2625  02eadfe3e900  ve/audit: allow changing loginuid for VE root
ok     6396e3df758f  7155808631d7  mm/mecontrol: add memcg_[un]charge_kmem() API
ok     cef85e680419  fc0dec52e538  mm/memcg: reclaim memory on reaching kmem limit.
drop                 da9151c89181  mm/memcg: limit page cache in memcg hack
                                     (added later: 397b92a42b5d mm/memcg: limit page cache in memcg hack)
ok     dbaad64d36b1  0b387e12a5fb  configs: OpenVZ related config options are added
ok     528aade534b9  e5aeeecfe8f4  config.debug: OpenVZ related config options are added
match  6709f2ba3433  e9e7bb689e1e  config.debug: set panic on oops by default
match  92fdb0b53d77  851a762c39f3  configs: add symlinks for convenience
match  0a37897833cb  65ccec963fda  configs: minimal "yes"-config added for KVM VM
match  32bac529fbcd  ee0f9c1fbb7b  config.OpenVZ.minimal: add a symlink for convenience
match  6cf4d8f0864a  ae90aa1d4264  configs: Enable CONFIG_DM_CRYPT option for encrypted containers
match  7a011f82a7a3  bcce304d25c5  configs: Enable CONFIG_BLK_DEV_LOOP option
match  37445e7cb00d  28c8d3038bf2  ve, kthread: Remove some useless crud.
match  db04b3c080ec  479d8402f260  ve,kthread: fix use-after-return.
match  7f754b4f1d10  75e40ca6e6cd  config.OpenVZ.minimal: disable XEN support and align other options
match  6317fd6ac81a  e276d34769d3  configs: add DM_PLOOP driver support
